model,fold,n_train,n_test,train_subjects,test_subjects,seconds,signature,macro_f1_3class,bin_sensitivity,bin_specificity,bin_precision,bin_f1,bin_tp,bin_fp,bin_tn,bin_fn,bin_auc,bin_auprc,bkg_recall,bkg_precision,bkg_f1,bkg_support,alert_recall,alert_precision,alert_f1,alert_support,fall_recall,fall_precision,fall_f1,fall_support,protocol,dataset,task,params,lo,hi
proposed_loso,sisfall:SA07,109688,4778,24,1,187.3,2574e6104c95,0.9660087569287379,0.9566666666666667,0.994193836534167,0.9169329073482428,0.936378466557912,287,26,4452,13,0.9987606074140241,0.9816054873287852,0.994193836534167,0.9970884658454647,0.9956390472995639,4478,0.0,0.0,0.0,0,0.9566666666666667,0.9169329073482428,0.936378466557912,300,loso,sisfall,postfall,7947,0.9638
proposed_loso,sisfall:SA08,109688,4778,24,1,220.6,2574e6104c95,0.9677518975990591,0.96,0.9944171505136221,0.9201277955271565,0.9396411092985318,288,25,4453,12,0.9989381420276909,0.9850374171388679,0.9944171505136221,0.9973124300111982,0.9958626858995863,4478,0.0,0.0,0.0,0,0.96,0.9201277955271565,0.9396411092985318,300,loso,sisfall,postfall,7947,0.9585
proposed_loso,sisfall:SA09,109688,4778,24,1,139.2,2574e6104c95,0.9532377840418587,0.92,0.9935238945958017,0.9049180327868852,0.912396694214876,276,29,4449,24,0.9957756438886407,0.9623660834782722,0.9935238945958017,0.994634473507713,0.9940788738688414,4478,0.0,0.0,0.0,0,0.92,0.9049180327868852,0.912396694214876,300,loso,sisfall,postfall,7947,0.959
proposed_loso,sisfall:SA10,109688,4778,24,1,140.6,2574e6104c95,0.9505574632379433,0.8966666666666666,0.9946404644930773,0.9180887372013652,0.9072512647554806,269,24,4454,31,0.9923343754652374,0.958514052560425,0.9946404644930773,0.993088071348941,0.9938636617204062,4478,0.0,0.0,0.0,0,0.8966666666666666,0.9180887372013652,0.9072512647554806,300,loso,sisfall,postfall,7947,0.9526
proposed_loso,sisfall:SA11,109688,4778,24,1,166.6,2574e6104c95,0.9157371996282853,0.8733333333333333,0.9866011612326931,0.8136645962732919,0.8424437299035369,262,60,4418,38,0.9947178800059551,0.9280278783181102,0.9866011612326931,0.9914721723518851,0.9890306693530333,4478,0.0,0.0,0.0,0,0.8733333333333333,0.8136645962732919,0.8424437299035369,300,loso,sisfall,postfall,7947,0.9592
proposed_loso,sisfall:SA12,109688,4778,24,1,205.5,2574e6104c95,0.975333443958921,0.9633333333333334,0.996203662349263,0.9444444444444444,0.9537953795379538,289,17,4461,11,0.9994119398541015,0.9914164414570733,0.996203662349263,0.9975402504472272,0.9968715083798882,4478,0.0,0.0,0.0,0,0.9633333333333334,0.9444444444444444,0.9537953795379538,300,loso,sisfall,postfall,7947,0.9629
proposed_loso,sisfall:SA13,109688,4778,24,1,190.2,2574e6104c95,0.9208820928237986,0.79,0.9955337204108977,0.9221789883268483,0.8509874326750448,237,20,4458,63,0.9930132499627811,0.9279219534918577,0.9955337204108977,0.9860650298606503,0.9907767529725525,4478,0.0,0.0,0.0,0,0.79,0.9221789883268483,0.8509874326750448,300,loso,sisfall,postfall,7947,0.9642
proposed_loso,sisfall:SA14,109691,4775,24,1,148.1,2574e6104c95,0.9610144745839775,0.9533333333333334,0.993072625698324,0.9022082018927445,0.927066450567261,286,31,4444,14,0.9978048417132216,0.9760554319577966,0.993072625698324,0.996859578286227,0.994962498600694,4475,0.0,0.0,0.0,0,0.9533333333333334,0.9022082018927445,0.927066450567261,300,loso,sisfall,postfall,7947,0.9551
proposed_loso,sisfall:SA15,109923,4543,24,1,213.8,2574e6104c95,0.9574353793229449,0.9266666666666666,0.9938722601932595,0.9144736842105263,0.9205298013245033,278,26,4217,22,0.9934975253358472,0.9614148503256386,0.9938722601932595,0.9948100967209248,0.9943409573213865,4243,0.0,0.0,0.0,0,0.9266666666666666,0.9144736842105263,0.9205298013245033,300,loso,sisfall,postfall,7947,0.9564
proposed_loso,sisfall:SA16,109688,4778,24,1,183.7,2574e6104c95,0.9663156364882666,0.9666666666666667,0.9935238945958017,0.9090909090909091,0.9369951534733442,290,29,4449,10,0.9991640613369064,0.9864964421165099,0.9935238945958017,0.9977573446961202,0.995636119503189,4478,0.0,0.0,0.0,0,0.9666666666666667,0.9090909090909091,0.9369951534733442,300,loso,sisfall,postfall,7947,0.9493
proposed_loso,sisfall:SA17,109737,4729,24,1,211.3,2574e6104c95,0.9767936009421926,0.9533333333333334,0.9972905847821179,0.959731543624161,0.9565217391304347,286,12,4417,14,0.9995100474147662,0.993660788175325,0.9972905847821179,0.9968404423380727,0.9970654627539504,4429,0.0,0.0,0.0,0,0.9533333333333334,0.959731543624161,0.9565217391304347,300,loso,sisfall,postfall,7947,0.9502
proposed_loso,sisfall:SA18,109688,4778,24,1,135.0,2574e6104c95,0.9490416039181468,0.9333333333333333,0.9912907548012505,0.877742946708464,0.9046849757673667,280,39,4439,20,0.9975509900253089,0.9740891188897705,0.9912907548012505,0.9955146893922404,0.993398232068927,4478,0.0,0.0,0.0,0,0.9333333333333333,0.877742946708464,0.9046849757673667,300,loso,sisfall,postfall,7947,0.9515
